"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"AMERICAN","IPA",25,1.05,1.01,5.34,40.91,16.72,107,60,26,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",7.5,1.048,1.009,5.12,44.45,5.09,184,60,32,78,"Specific Gravity","BIAB"
"AMERICAN","STOUT",43,14.3189,5.33594,4.88,44.52,36.42,144,90,129,66,"Plato","All Grain"
"AMERICAN","IPA",41.64,1.063,1.015,6.27,71.78,5.6,148,60,37,70,"Specific Gravity","All Grain"
"DRY","STOUT",8,1.046,1.009,4.88,41.63,50,201,60,25,50,"Specific Gravity","BIAB"
"AMERICAN","PALE",20.1,1.055,1.011,5.82,38.89,9.43,66,90,31,78,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20,1.067,1.014,6.98,39.57,38.28,109,60,28,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",45,1.06,1.013,6.2,46.77,6.49,154,90,36,68,"Specific Gravity","All Grain"
"AMERICAN","IPA",124.92,1.058,1.011,6.12,65.47,7.01,26,60,34,80,"Specific Gravity","All Grain"
"BALTIC","PORTER",20.82,1.067,1.017,6.56,29.66,33.08,71,60,40,50,"Specific Gravity","Partial Mash"
"IMPERIAL","STOUT",45,1.069,1.012,7.44,4.86,37.22,142,60,53,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.055,1.013,5.57,43.27,7.69,93,60,33,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",60.57,1.068,1.012,7.31,33.23,6.69,191,60,36,75,"Specific Gravity","All Grain"
"SWEET","STOUT",5,1.054,1.015,5.15,13.22,40.93,192,60,18,60,"Specific Gravity","BIAB"
"BELGIAN","PALE",18,1.049,1.011,5.06,12.52,4.84,44,60,33,35,"Specific Gravity","extract"
"AMERICAN","PALE",21,1.052,1.01,5.48,35.2,12.66,97,60,22,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",30,1.058,1.013,5.91,55.61,7.64,142,60,23,78,"Specific Gravity","All Grain"
"IMPERIAL","IPA",13,1.078,1.013,8.58,84.53,13.66,48,90,38,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",938.78,1.055,1.013,5.55,36.42,8.26,4,60,33,90,"Specific Gravity","All Grain"
"BLONDE","ALE",20,1.043,1.01,4.35,27.37,3.9,78,60,17,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.073,1.015,7.63,57.08,6.56,78,60,43,68,"Specific Gravity","All Grain"
"SWEET","STOUT",11.36,1.06,1.017,5.59,23.85,22.77,40,90,24,78,"Specific Gravity","All Grain"
"CREAM","ALE",37.85,1.044,1.009,4.62,18.47,4.57,135,60,24,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",22.71,1.072,1.016,7.76,268.71,6.33,108,90,38,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",27,1.06,1.011,6.47,69.02,12.89,107,60,38,83,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.073,1.024,6.52,36.66,4.9,95,60,43,65,"Specific Gravity","All Grain"
"BELGIAN","PALE",50,1.053,1.018,4.74,11.82,5.2,165,60,31,81,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.082,1.021,8.11,89.54,9.41,71,60,54,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",10,1.078,1.015,8.3,111.74,6.06,38,90,31,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",19.87,1.107,1.025,10.82,84.97,49.24,90,60,62,75,"Specific Gravity","All Grain"
